Site Location,Stock Status,Material No.,Category,Description,Long tex
JUR,Available,2000061,Lubricant,COMPOUND/LUBRICANT;500GM;CAN PACKAGE,SHORT_NAME:LUBRICANT/SEALANT COMPOUND TYPE:ANTI-SEIZE COPPER BASE PACKAGE_SIZE:500GM PACKAGE_TYPE:CAN TEMPERATURE_RATING:1100DEG C APPLICATION:F/EASY DISMANTLE AND RE-ASSEMBLY OF METAL FITTING. SUITABLE F/JOINTS INCLUDING NUTS BOLTS AND BATTERY TERMINAL TEMPERATURE RANGE SUB ZERO TO OVER MANUFACTURER_
JUR,Available,2000243,General,DETECTOR;LIQ LEAK;8 OZ. (236 ML) BTL,SHORT_NAME:DETECTOR TYPE:LIQUID LEAK TEMPERATURE_RANGE:27 TO 200 DEG F (2 TO 93 DEG C) CONTAINER:8 OZ. (236 ML) BOTTLE APPLICATION:F/GAS 8 OZ BTL MANUFACTURER_PART_NUMBER:MS-SNOOP-8OZ
JUR,Available,2001102,Fastener,STUDBOLT;SZ 1/2 IN;2 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1/2 IN LENGTH:2 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001104,Fastener,STUDBOLT;SZ 1/2 IN;2.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:1/2 IN LENGTH:2.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001105,Fastener,STUDBOLT;SZ 1/2 IN;2.3/4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:1/2 IN LENGTH:2.3/4 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001106,Fastener,STUDBOLT;SZ 1/2 IN;3 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1/2 IN LENGTH:3 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001108,Fastener,STUDBOLT;SZ 1/2 IN;3.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:1/2 IN LENGTH:3.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001110,Fastener,STUDBOLT;SZ 1/2 IN;4 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1/2 IN LENGTH:4 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001120,Fastener,STUDBOLT;SZ 5/8 IN;3 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:3 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001122,Fastener,STUDBOLT;SZ 5/8 IN;3.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:3.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001123,Fastener,STUDBOLT;SZ 5/8 IN;3.3/4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:3.3/4 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,No Stock,2001124,Fastener,STUDBOLT;SZ 5/8 IN;4 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:4 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001125,Fastener,STUDBOLT;SZ 5/8 IN;4.1/4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:4.1/4 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001126,Fastener,STUDBOLT;SZ 5/8 IN;4.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:4.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001128,Fastener,STUDBOLT;SZ 5/8 IN;5 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:5 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001133,Fastener,STUDBOLT;SZ 3/4 IN;3 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:3 IN MATERIAL_SPECIFICATION:GR-B7 NUMBER_OF_NUTS:W/2HEX NUT GR-B7
JUR,Available,2001135,Fastener,STUDBOLT;SZ 3/4 IN;3.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:3.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001137,Fastener,STUDBOLT;SZ 3/4 IN;4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:4 IN MATERIAL_SPECIFICATION:B7 NUMBER_OF_NUTS:W/2HEX NUT
JUR,Available,2001139,Fastener,STUDBOLT;SZ 3/4 IN;4.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:4.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001140,Fastener,STUDBOLT;SZ 3/4 IN;4.3/4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:4.3/4 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001141,Fastener,STUDBOLT;SZ 3/4 IN;5 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:5 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001143,Fastener,STUDBOLT;SZ 3/4 IN;5.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:5.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001145,Fastener,STUDBOLT;SZ 3/4 IN;6 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:6 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001158,Fastener,STUDBOLT;SZ 7/8 IN;4 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:4 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001160,Fastener,STUDBOLT;SZ 7/8 IN;4.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:4.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001164,Fastener,STUDBOLT;SZ 7/8 IN;5.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:5.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001166,Fastener,STUDBOLT;SZ 7/8 IN;6 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:6 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001168,Fastener,STUDBOLT;SZ 7/8 IN;6.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:6.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
JUR,Available,2001187,Fastener,STUDBOLT;SZ 1 IN;5 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1 IN LENGTH:5 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001188,Fastener,STUDBOLT;SZ 1 IN;5.1/4 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1 IN LENGTH:5.1/4 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001189,Fastener,STUDBOLT;SZ 1 IN;5.1/2 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1 IN LENGTH:5.1/2 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
